source,target,from_currency,to_currency,rate_date,rate,TYPE,target_ref_id
Bloomberg,I2OC,BGN,USD,2023-08-31T00:00:00.000Z,0.5542,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-31T00:00:00.000Z,10.6683,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-31T00:00:00.000Z,0.2027,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-31T00:00:00.000Z,0.13776,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-31T00:00:00.000Z,0.045013,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-31T00:00:00.000Z,0.00284,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-31T00:00:00.000Z,0.012084,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-31T00:00:00.000Z,0.0032703,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-31T00:00:00.000Z,0.2424,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-31T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-31T00:00:00.000Z,0.7396,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-31T00:00:00.000Z,0.028567,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-31T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-30T00:00:00.000Z,0.5587,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-30T00:00:00.000Z,10.5699,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-30T00:00:00.000Z,0.2057,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-30T00:00:00.000Z,0.13726,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-30T00:00:00.000Z,0.045339,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-30T00:00:00.000Z,0.00288,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-30T00:00:00.000Z,0.012089,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-30T00:00:00.000Z,0.0032856,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-30T00:00:00.000Z,0.2444,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-30T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-30T00:00:00.000Z,0.741,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-30T00:00:00.000Z,0.028589,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-30T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-29T00:00:00.000Z,0.00285,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-29T00:00:00.000Z,0.012085,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-29T00:00:00.000Z,0.0032954,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-29T00:00:00.000Z,0.2429,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-29T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-29T00:00:00.000Z,0.7398,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-29T00:00:00.000Z,0.028544,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-29T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-29T00:00:00.000Z,0.5548,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-29T00:00:00.000Z,10.6468,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-29T00:00:00.000Z,0.2059,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-29T00:00:00.000Z,0.13735,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-29T00:00:00.000Z,0.045048,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-28T00:00:00.000Z,0.5525,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-28T00:00:00.000Z,10.725,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-28T00:00:00.000Z,0.2043,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-28T00:00:00.000Z,0.13718,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-28T00:00:00.000Z,0.04475,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-28T00:00:00.000Z,0.00282,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-28T00:00:00.000Z,0.012102,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-28T00:00:00.000Z,0.0033085,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-28T00:00:00.000Z,0.2416,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-28T00:00:00.000Z,0.0092,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-28T00:00:00.000Z,0.7378,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-28T00:00:00.000Z,0.028419,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-28T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-27T00:00:00.000Z,0.5513,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-27T00:00:00.000Z,10.7206,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-27T00:00:00.000Z,0.205,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-27T00:00:00.000Z,0.13717,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-27T00:00:00.000Z,0.044745,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-27T00:00:00.000Z,0.00283,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-27T00:00:00.000Z,0.0121,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-27T00:00:00.000Z,0.003327,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-27T00:00:00.000Z,0.2415,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-27T00:00:00.000Z,0.0092,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-27T00:00:00.000Z,0.737,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-27T00:00:00.000Z,0.028458,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-27T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-26T00:00:00.000Z,0.5513,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-26T00:00:00.000Z,10.7206,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-26T00:00:00.000Z,0.205,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-26T00:00:00.000Z,0.13717,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-26T00:00:00.000Z,0.044745,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-26T00:00:00.000Z,0.00283,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-26T00:00:00.000Z,0.0121,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-26T00:00:00.000Z,0.003327,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-26T00:00:00.000Z,0.2415,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-26T00:00:00.000Z,0.0092,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-26T00:00:00.000Z,0.737,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-26T00:00:00.000Z,0.028458,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-26T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-25T00:00:00.000Z,0.5513,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-25T00:00:00.000Z,10.7206,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-25T00:00:00.000Z,0.205,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-25T00:00:00.000Z,0.13717,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-25T00:00:00.000Z,0.044745,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-25T00:00:00.000Z,0.00283,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-25T00:00:00.000Z,0.0121,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-25T00:00:00.000Z,0.0033274,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-25T00:00:00.000Z,0.2415,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-25T00:00:00.000Z,0.0092,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-25T00:00:00.000Z,0.737,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-25T00:00:00.000Z,0.028458,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-25T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-24T00:00:00.000Z,0.5536,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-24T00:00:00.000Z,10.6895,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-24T00:00:00.000Z,0.2049,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-24T00:00:00.000Z,0.13738,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-24T00:00:00.000Z,0.044812,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-24T00:00:00.000Z,0.00282,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-24T00:00:00.000Z,0.012111,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-24T00:00:00.000Z,0.0033304,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-24T00:00:00.000Z,0.2418,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-24T00:00:00.000Z,0.0092,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-24T00:00:00.000Z,0.7377,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-24T00:00:00.000Z,0.0286,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-24T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-23T00:00:00.000Z,0.5553,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-23T00:00:00.000Z,10.6088,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-23T00:00:00.000Z,0.2049,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-23T00:00:00.000Z,0.13739,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-23T00:00:00.000Z,0.045088,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-23T00:00:00.000Z,0.00284,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-23T00:00:00.000Z,0.012089,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-23T00:00:00.000Z,0.0033387,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-23T00:00:00.000Z,0.2433,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-23T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-23T00:00:00.000Z,0.739,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-23T00:00:00.000Z,0.028612,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-23T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-22T00:00:00.000Z,0.5545,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-22T00:00:00.000Z,10.6327,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-22T00:00:00.000Z,0.2025,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-22T00:00:00.000Z,0.13709,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-22T00:00:00.000Z,0.045027,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-22T00:00:00.000Z,0.00283,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-22T00:00:00.000Z,0.012051,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-22T00:00:00.000Z,0.0033429,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-22T00:00:00.000Z,0.2428,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-22T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-22T00:00:00.000Z,0.7365,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-22T00:00:00.000Z,0.028571,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-22T00:00:00.000Z,0.0272,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-21T00:00:00.000Z,0.5567,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-21T00:00:00.000Z,10.6299,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-21T00:00:00.000Z,0.2004,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-21T00:00:00.000Z,0.13722,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-21T00:00:00.000Z,0.045318,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-21T00:00:00.000Z,0.00284,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-21T00:00:00.000Z,0.012028,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-21T00:00:00.000Z,0.003365,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-21T00:00:00.000Z,0.243,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-21T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-21T00:00:00.000Z,0.7361,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-21T00:00:00.000Z,0.028362,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-21T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-20T00:00:00.000Z,0.2437,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-20T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-20T00:00:00.000Z,0.7377,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-20T00:00:00.000Z,0.028277,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-20T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-20T00:00:00.000Z,0.556,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-20T00:00:00.000Z,10.6334,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-20T00:00:00.000Z,0.2014,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-20T00:00:00.000Z,0.13734,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-20T00:00:00.000Z,0.04529,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-20T00:00:00.000Z,0.00285,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-20T00:00:00.000Z,0.012033,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-20T00:00:00.000Z,0.00338,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-19T00:00:00.000Z,0.2437,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-19T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-19T00:00:00.000Z,0.7377,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-19T00:00:00.000Z,0.028277,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-19T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-19T00:00:00.000Z,0.556,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-19T00:00:00.000Z,10.6334,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-19T00:00:00.000Z,0.2014,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-19T00:00:00.000Z,0.13734,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-19T00:00:00.000Z,0.04529,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-19T00:00:00.000Z,0.00285,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-19T00:00:00.000Z,0.012033,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-19T00:00:00.000Z,0.00338,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-18T00:00:00.000Z,0.2437,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-18T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-18T00:00:00.000Z,0.7377,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-18T00:00:00.000Z,0.028277,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-18T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-18T00:00:00.000Z,0.556,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-18T00:00:00.000Z,10.6334,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-18T00:00:00.000Z,0.2014,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-18T00:00:00.000Z,0.13734,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-18T00:00:00.000Z,0.04529,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-18T00:00:00.000Z,0.00285,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-18T00:00:00.000Z,0.012033,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-18T00:00:00.000Z,0.0033801,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-17T00:00:00.000Z,0.5559,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-17T00:00:00.000Z,10.574,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-17T00:00:00.000Z,0.2005,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-17T00:00:00.000Z,0.13715,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-17T00:00:00.000Z,0.045159,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-17T00:00:00.000Z,0.00283,FIX,F120
Bloomberg,I2OC,INR,USD,2023-08-17T00:00:00.000Z,0.012037,FIX,F120
Bloomberg,I2OC,PKR,USD,2023-08-17T00:00:00.000Z,0.0033885,FIX,F120
Bloomberg,I2OC,PLN,USD,2023-08-17T00:00:00.000Z,0.2432,FIX,F120
Bloomberg,I2OC,RSD,USD,2023-08-17T00:00:00.000Z,0.0093,FIX,F120
Bloomberg,I2OC,SGD,USD,2023-08-17T00:00:00.000Z,0.7358,FIX,F120
Bloomberg,I2OC,THB,USD,2023-08-17T00:00:00.000Z,0.028159,FIX,F120
Bloomberg,I2OC,UAH,USD,2023-08-17T00:00:00.000Z,0.0271,FIX,F120
Bloomberg,I2OC,BGN,USD,2023-08-16T00:00:00.000Z,0.5575,FIX,F120
Bloomberg,I2OC,USD,NOK,2023-08-16T00:00:00.000Z,10.559,FIX,F120
Bloomberg,I2OC,BRL,USD,2023-08-16T00:00:00.000Z,0.2013,FIX,F120
Bloomberg,I2OC,CNY,USD,2023-08-16T00:00:00.000Z,0.13701,FIX,F120
Bloomberg,I2OC,CZK,USD,2023-08-16T00:00:00.000Z,0.045274,FIX,F120
Bloomberg,I2OC,HUF,USD,2023-08-16T00:00:00.000Z,0.00282,FIX,F120
